pair_id,root,commentary,label
bca_5.102,"sadā kalyāṇamitraṃ ca jīvitārthe 'pi na tyajet |
bodhisattvavratadharaṃ mahāyānārthakovidam || 5.102 ||","yad uktaṃ kalyāṇamitrān utsargād iti tadāha.

kalyāṇakarmaṇy abhyudayaniḥśreyasaprāptilakṣaṇe mitram asādhāraṇo bandhuḥ, tat kāyajīvitavipraṇāśabhayabhīto 'pi na tyajet. kalyāṇamitrānuśaṃsāś ca prajñāpāramitāyām āryāṣṭasāhasrikāyāṃ sadāpraruditaparivartād veditavyāḥ. caturdharmakasūtre 'py uktam—

	kalyāṇamitraṃ bhikṣavo bodhisattvena mahāsattvena yāvajjīvaṃ na tyaktavyam api jīvitahetoḥ.

iti. aparityājyasya kalyāṇamitrasya lakṣaṇam āha bodhisattvaśikṣāsaṃvare vyavasthitam. mahāyānārthapaṇḍitam. etādṛśaṃ sudurlabham.",1
medū_5,"dhūmajyotiḥsalilamarutāṃ saṃnipātaḥ kva meghaḥ  
sandeśārthāḥ kva paṭukaraṇaiḥ prāṇibhiḥ prāpaṇīyāḥ |  
ity autsukyād aparigaṇayan guhyakas taṃ yayāce  
kāmārtā hi prakṛtikṛpaṇāś cetanācetaneṣu ||","nanu cetana sādhyam arthaṃ katham acetanena kārayituṃ pravṛtta ity apekṣāyāṃ kaviḥ samādhatte—dhūmeti || dhūmaś ca jyotiś ca salilaṃ ca marudvāyuś ca teṣāṃ sannipātaḥ saṅghāto meghaḥ kva | acetanatvāt sandeśānarha ity arthaḥ | paṭukaraṇaiḥ samarthendriyaiḥ || ""karaṇaṃ sādhakatamaṃ kṣetragātrendriyeṣv api"" ity amaraḥ || prāṇibhiś cetanaiḥ || ""prāṇī tu cetano janmī"" ity amaraḥ || prāpaṇīyāḥ prāpayitavyāḥ | sandiśyanta iti sandeśāsta evārthāḥ kva | ity evam autsukyād iṣṭārthodyuktatvāt || ""iṣṭārthodyukta utsukaḥ"" ity amaraḥ || sampradānatvāt kuśalapraśnenābhimukhīcakārety arthaḥ | aparigaṇayann avicārayan guhyako yakṣas taṃ meghaṃ yayāce yācitavān || ""yācṛ yācñāyām"" || tathā hi | kāmārtā madanāturāś cetanāścācetanāś ca teṣu viṣaye prakṛtikṛpaṇāḥ svabhāvadīnāḥ | kāmāndhānāṃ yuktāyuktavivekaśūnyatvād acetanayācñā na virudhyata ity arthaḥ || atra meghasandeśayor virūpayor ghaṭanād viṣamālaṅkāraḥ | tad uktaṃ—""viruddhakāryasyotpattir yatrānarthasya vā bhavet | virūpaghaṭanā cāsau viṣamālaṅkṛtis tridhā"" || iti | sā cārthāntaranyāsānuprāṇitā tatsamarthakatvenaiva caturthapāde tasyopanyāsāt ||",1
gg_3.3,"māmiyaṃ calitā vilokya vṛtaṃ vadhūnicayena |
sāparādhatayā mayāpi na vāritātibhayena |
hari hari hatādaratayā gatā sā kupiteva ||",iyaṃ rādhā māṃ śrīkṛṣṇaṃ vilokya dṛṣṭvā calitā nirgatā | kimbhūtam | vṛtaṃ parivṛtam | kena | vadhūnicayena | gopavadhūnāṃ nicayaḥ samūhastena | mayā na nivāritā atibhayena | kayā | sāparādhatayā | saha aparādhena vartata iti sāparādhastasya bhāvaḥ sāparādhatā tayā | sā rādhikā kupiteva kruddheva gatā yātā | kayā | hatādaratayā | hato vinaṣṭo ādaraḥ satkārastasya bhāvastayā | hari hari śiva śiva khede 'rthe dvau śabdau bhavataḥ |,1
cmt_3.27,"sā cāha |
aho madīyaṃ yat padmaṃ sarvasukhasamanvitam |
sevayed yo vidhānena tasyāhaṃ siddhidāyinī || 3.27 ||","tathāpi nātrābhiniveśaḥ kārya ity āha.

ācchidyeti balāt. bhavato gṛhītvā niṣkṛpo mṛtyus tava kāyaṃ gṛdhrebhyo dāsyati. tadāpi na kaścit pratikāro bhaviṣyati ity abhiprāyaḥ.",0
seni_28,"vicitraṃ karmamudrāto vipāko jagadātmatā |
sthairyaṃ vilakṣaṇaṃ tatra vimardo jagadīkṣaṇam || SeNi 28 ||","caturānandasvabhāvā kāyikī karmamudroktaiva | vācasīṃ dharmamudrāṃ caturānandasvabhāvām āha—vicitram ityādi | karmamudrāto nimittāt sadgurūpadeśena vacasā pratīyamānā jagadātmatā citrollekhatvād vicitram | saiva ca bhāvanayā nirvedhābhimukhyā citrollekhāpagamād vipākaḥ | tatra jagadātmatāyāṃ bhāvanāprakarṣād yad anullekhasya sthairyaṃ tad vilakṣaṇam | itthaṃ sarvākāravaropetaśūnyatākhyajagadātmatāyāṃ sthairye 'pi bhāvakasya yogino 'pratiṣṭhānādhimokṣeṇa tathaiva vyavaharamāṇasya yaj jagadīkṣaṇam ālocanaṃ sa vimardaḥ | eṣu vicitrādiṣv ānandacatuṣṭayaṃ kramato yojyam | atrāpi ""caturthaṃ tat punas tatheti"" caturthaṃ pūrvavat | yadā ""eka eva suratānandaś catuḥsaṅkhyāvicchinnaḥ"" iti vacanāt sarvaṃ sahajarūpaṃ tadā dharmamudrā caturānandarūpaika eva paramānandaḥ ||",1
ht_1.5.9,"kulāni ṣaḍvidhāny āhuḥ saṃkṣepeṇa tu pañcadhā |  
paścāt trividhaṃ yānti kāyavākcittabhedanaiḥ || 9 ||",viditaitajjñānasya yogino niṣṭhām āha—jñānāmṛtetyādi | subodham ||,0
cmt_4.17,"hanyāt khaḍgena cākṣobhyaṃ pitaraṃ paścāt prabhakṣayet |
māmakyāpi tatas taṃ ca bhakṣitaṃ vai prakalpayet || 4.17 ||",punaḥ kiṃbhūte | mādhavikāparimalalalite | mādhavikāyāḥ kusumitavāsantyāḥ parimalo gandhaḥ tena lalitaḥ ramaṇīyaḥ tasmin | punaḥ kiṃbhūte | navamālatijātisugandhau | navā nūtanāśca tā mālatyaśca tāsāṃ jātiḥ prādurbhāvaḥ | janī prādurbhave ityasya jādeśe atipratyayaḥ | tathā śobhano gandho yasmin sa tathā athavā navamālikayā kāraṇabhūtayā puṣpaviśeṣeṇa atisugandhau | navā ca mālikā ceti tayā | punaḥ kiṃbhūte | mohanakāriṇi | mohanaṃ vaicityaṃ kartuṃ śīlamasyeti sa tathā tasmin | keṣāṃ | munimanasāmapi | munayo jitendriyāḥ vanavāsino vikārahīnāḥ nityanaimittikādivratācāravantasteṣāmapi | punaḥ kiṃbhūte | taruṇākāraṇabandhau | taruṇānāṃ yuvajanānāṃ akāraṇena upakāraṃ vinaiva bandhuḥ hitakārī kuṭumbasahāyaḥ kāmoddīpanatvāt |,0
medū_13,"mārgaṃ tāvac chṛṇu kathayatas tvatprayāṇānurūpam  
sandeśaṃ me tad anu jalada śroṣyasi śrotrapeyam |  
khinnaḥ khinnaḥ śikhariṣu padaṃ nyasya gantāsi yatra  
kṣīṇaḥ kṣīṇaḥ parilaghu payaḥ srotasāṃ copabhujya ||","iti manasi nidhāya tathaiva saṃyatātmā tiṣṭhet. trapādarabhayānvitaḥ—apratirūpe karmaṇi trapā lajjā, śikṣāyām ādaraḥ, tadatikrame bhayam. buddhabodhisattveṣv eva vā trapādayaḥ. evaṃ sati aparo 'pi viśeṣaḥ syād ity āha—buddhetyādi. tad evaṃ viharatas tasya pratikṣaṇam akāmata eva buddhānusmṛtiḥ syāt.",0
nasa_11,"gambhīrārthām udārārthāṃ mahārthām asamāṃ śivāṃ |
ādimadhyāntakalyāṇīṃ nāmasaṃgītim uttamāṃ || 11 ||","ataḥ idam api prātimokṣaniṣiddhaṃ nācaraṇīyam ity āha.

kheṭasya śleṣmaṇo visarjanam apāvṛtaṃ na kuryāt. jale sthale bhogya upabhogye mūtrapurīṣāder api kutsitam. atrāpi devatādyavadhyānād apuṇyaṃ prasavet.",0
bca_5.60,"rakṣasīmaṃ manaḥ kasmād ātmīkṛtya samucchrayam |
tvattaś cet pṛthag evāyaṃ tenātra tava ko vyayaḥ || 5.60 ||","evaṃ sarvathānupayogini kāye sāpekṣatāṃ nirasyann āha.

he manaḥ, anātmakam eva ātmatvena svīkṛtya māṃsāsthipuñjaṃ kāyasaṃjñakaṃ kasmāt kāraṇāt tvaṃ rakṣasi? kim evam iti cet, bhavato yadi bhinna evāyaṃ kāyaḥ. tena asyāpacaye tava kim apacīyate?",1
nasa_20,"sādhu vajradhara śrīmān sādhu te vajrapāṇaye |
yat tvaṃ jagaddhitārthāya mahākaruṇayānvitaḥ || 20 ||",sādhu vajradharetyādi | te tava vajrapāṇeḥ sādhu | śrīmān he vajradhara yat yasmāt tvaṃ mañjuśrījñānakāyasya saṃbandhinī yā nāmasaṃgītis tāṃ mattaḥ śrotuṃ samudyatas tat tasmāt he guhyakādhipa te tava sādhu deśayāmīti saṃbandhaḥ || kimarthaṃ tvayāhaṃ pṛṣṭaḥ | jagaddhitārthāyeti | jagadanugrahāya mahākaruṇayānvitaḥ san ||,1
seni_11,"yogādhyāye 'pi—
jñānāmṛtena tṛptasya kṛtakṛtyasya yoginaḥ |
naivāsti kiñcit kartavyam asti cen na sa tattvavit || SiNe 11 ||",viditaitajjñānasya yogino niṣṭhām āha—jñānāmṛtetyādi | subodham ||,1
nasa_22,"tat sādhu deśayāmy eṣa ahaṃ te guhyakādhipa | 
śṛṇu tvam ekāgramanās tat sādhu bhagavann iti || 22 ||","tvayīti || kṛṣer halakarmaṇaḥ phalaṃ sasyaṃ tvayi || adhikaraṇavivakṣāyāṃ saptamī || āyattam adhīnam || ""adhīno vighna āyattaḥ"" ity amaraḥ || iti hetoḥ prītyā snigdhaiḥ | akṛtrimapremārdrair ity arthaḥ | bhrūvikārāṇāṃ bhrūvilāsānām anabhijñaiḥ | pāmaratvād iti śeṣaḥ | janapadavadhūnāṃ pallīyoṣitāṃ locanaiḥ pīyamānaḥ sādaraṃ vīkṣyamāṇaḥ san | mālaṃ mālākhyaṃ kṣetraṃ śailaprāyam unnatasthalam || ""mālam unnatabhūtalam"" ity utpalamālāyām || sadyas tatkālam eva sīrair halair utkaṣaṇena karṣaṇena surabhi ghrāṇatarpaṇaṃ yathā tathā āruhya || tatrābhivruṣyety arthaḥ || ""surabhir ghāṇatarpaṇaḥ"" ity amaraḥ || kiñcit paścāl laghugatis tatra nivṛṣṭatvāt kṣipragamanaḥ san ""laghu kṣiprataraṃ drutam"" ity amaraḥ || bhūyaḥ punar apy uttareṇaivottaramārgeṇaiva vraja gaccha || tṛtīyāvidhāne ""prakṛtyādibhya upasaṃkhyānam"" iti tṛtīyā || yathā kaścid bahuvallabhaḥ patiḥ kutracit kṣetre kalatre gūḍhaṃ vihṛtya || ""kṣetraṃ śarīre kedāre siddhasthānakalatrayoḥ"" iti viśvaḥ || dākṣiṇyabhaṅgabhayān nīcamārgeṇa nirgatya punaḥ sarvādhyakṣa iva sañcarati tad vaditi dhvaniḥ ||",0
seni_30,"anābhogaṃ hi yaj jñānaṃ tac cācintyaṃ pracakṣate |
sañcintya yad acintyaṃ vai tad acintyaṃ bhaven na hi || SeNi 30 ||","katham ity āha—brahmetyādi. yata eva suviśuddhabodharūpatvād asau buddhas tad eva paraṃ brahma. tasmāt sa eva brahmā. nirvṛttita iti mokṣarūpatvād ity arthaḥ. nirvṛtir nirvāṇaṃ mokṣo niḥśreyasaṃ buddha iti paryāyāḥ. viṣaṇād iti tādātmyena praveśāt. kva? paramagambhīre dharmakāye. viśateḥ ktapratyayaḥ ṣatvaṇatve ca. sadā sukalyāṇād iti dhruvakalyāṇatvāt paramakalyāṇatvāc ca. sarvar ityādi. yasmād asau sarveṣām ātmani dharmadhātau vedakatvena sthitaḥ, tasmāt sarvaḥ.",0
nasa_10,"bhagavan jñānakāyasya mahoṣṇīṣasya gīṣpateḥ |
mañjuśrījñānasattvasya jñānamūrteḥ svayaṃbhuvaḥ || 10 ||",mukhaṃ pūritaṃ kṛtvā mahatkavalagrahaṇāt. saśabdaṃ sukasunikādiśabdena. prasṛtānanaṃ dūraṃ vidāritamukham. pralambapādaṃ bhūmyādyalagnapādaṃ khaṭvādyārohaṇe sati nāsīta. dvāv api bāhū samamekasmin kāle na mardayet. kramamardane na doṣaḥ. sati pratyaye.,0
