pair_id,root,commentary,label
bca_5.100,"na hi tad vidyate kiṃcid yan na śikṣyaṃ jinātmajaiḥ |
na tad asti na yat puṇyam evaṃ viharataḥ sataḥ || 5.100 ||","kiṃ punar evam aniyamenābhidhīyata ity āha.

yasmāt sarvākāraṃ sarvavastutattvam adhigamya sarveṣāṃ hitasukhavidhānārtham udyacchadbhir buddhasutaiḥ na tad asti kiṃcit yan na śikṣitavyam. anyathā sarvākāraḥ sarvasattvānām arthaḥ kartum aśakyaḥ. puṇyasaṃbhāro 'pi evaṃ vicarato 'paryanta eva syāt.",1
bca_5.100,"na hi tad vidyate kiṃcid yan na śikṣyaṃ jinātmajaiḥ |
na tad asti na yat puṇyam evaṃ viharataḥ sataḥ || 5.100 ||","tathāpi nātrābhiniveśaḥ kārya ity āha.

ācchidyeti balāt. bhavato gṛhītvā niṣkṛpo mṛtyus tava kāyaṃ gṛdhrebhyo dāsyati. tadāpi na kaścit pratikāro bhaviṣyati ity abhiprāyaḥ.",0
bca_5.101,"pāramparyeṇa sākṣād vā sattvārthaṃ nānyad ācaret |
sattvānām eva cārthāya sarvaṃ bodhāya nāmayet || 5.101 ||","iyam api śikṣāpadamudrāvadhārayitavyety āha.

antataḥ svayamāhārādikriyayā parapreraṇayāparāparadūtapreraṇayā vā, sākṣāt svayam evāmiṣadānādinā vā, yat sattvānāṃ hitasukhahetur na bhavati, tan na kuryāt kārayed vā. na caitad eva kevalam. kiṃcit sattvānām eva saṃsāraduḥkhapatitānāṃ tato niḥsaraṇāya sarvaṃ kuśalamūlam anuttarāyāṃ samyaksaṃbodhau pariṇāmayet.",1
bca_5.101,"pāramparyeṇa sākṣād vā sattvārthaṃ nānyad ācaret |
sattvānām eva cārthāya sarvaṃ bodhāya nāmayet || 5.101 ||","kutaḥ punar evam ity āha.

sarve hy ete karmākṣepavaśād aniṣṭadāyakā bhavanti. karma ca cittam eva, cetanā karmeti vacanāt. vākkāyakarmaṇor api cittam eva samutthāpakam. tadantareṇa tayor anutpatteḥ, cetayitvā karmeti vacanāt. tasmāt sarvam iha karmanirmitam eva. tac ca cittān nānyat. tad āha-

	karmajaṃ lokavaicitryaṃ cetanā tatkṛtaṃ ca tat |
	cetanā mānasaṃ karma tajje vākkāyakarmaṇī || iti || (Abhidharmakośa 4.1)

na ca anapakāracittasya kecid apakāriṇo nāma. yasmāt-

	nivṛttapāpacittasya nāsti loke bhayaṃ dviṣaḥ |
	sukhahānir na tasyāsti yasya cittaṃ vaśe sthitam ||

ata idam uktam-

	cittasya damanaṃ sādhu cittaṃ dāntaṃ sukhāvaham | (Dhammapada 25)

iti. 

tattvavādī bhagavān, vastutattvakathanaśīlatvāt. tenedaṃ tattvaṃ kathitaṃ prakāśitam—sarvaṃ cittaprasūtam iti. ataḥ sarvatra cittam eva pradhānam.",0
bca_5.102,"sadā kalyāṇamitraṃ ca jīvitārthe 'pi na tyajet |
bodhisattvavratadharaṃ mahāyānārthakovidam || 5.102 ||","yad uktaṃ kalyāṇamitrān utsargād iti tadāha.

kalyāṇakarmaṇy abhyudayaniḥśreyasaprāptilakṣaṇe mitram asādhāraṇo bandhuḥ, tat kāyajīvitavipraṇāśabhayabhīto 'pi na tyajet. kalyāṇamitrānuśaṃsāś ca prajñāpāramitāyām āryāṣṭasāhasrikāyāṃ sadāpraruditaparivartād veditavyāḥ. caturdharmakasūtre 'py uktam—

	kalyāṇamitraṃ bhikṣavo bodhisattvena mahāsattvena yāvajjīvaṃ na tyaktavyam api jīvitahetoḥ.

iti. aparityājyasya kalyāṇamitrasya lakṣaṇam āha bodhisattvaśikṣāsaṃvare vyavasthitam. mahāyānārthapaṇḍitam. etādṛśaṃ sudurlabham.",1
bca_5.102,"sadā kalyāṇamitraṃ ca jīvitārthe 'pi na tyajet |
bodhisattvavratadharaṃ mahāyānārthakovidam || 5.102 ||","suniścitaṃ saṃdehaviparyāsarahitam. suprasannaṃ sadā prītisaumanasyabahulam. dhīram acañcalam. ādaraḥ kathita eva. gauravaṃ ārādhyeṣu cittasya namratā. tābhyāṃ saha vartate. salajjaṃ pūrvavat. sabhayaṃ skhalitam ālokya bhītam. śāntaṃ saṃyatendriyam, sattvārādhanayatnavat.",0
bca_5.103,"śrīsambhavavimokṣāc ca śikṣed yad guruvartanam |
etac cānyac ca buddhoktaṃ jñeyaṃ sūtrāntavācanāt || 5.103 ||","kalyāṇamitrasya paryupāsanaparijñānārtham āha.

śrīsaṃbhavavimokṣād āryagaṇḍavyūhaparivartāt kalyāṇamitraparyupāsanaṃ śikṣet jānīyāt. yathoktam āryagaṇḍavyūhe āryaśrīsaṃbhavena- 

	kalyāṇamitrasaṃdhāritāḥ kulaputra bodhisattvā na patanti durgatiṣu. yāvat saṃcodakāḥ kalyāṇamitrā akaraṇīyānām. saṃnivārakāḥ pramādasthānāt. niṣkāsayitāraḥ saṃsārapurāt. tasmāt tarhi kulaputra evaṃmanasikārāpratiprasrabdhena kalyāṇamitrāṇy upasaṃkramitavyāni. pṛthivīsamacittena sarvabhārodvahanāparitasanatayā. vajrasamacittenābhedyāśayatayā. cakravālasamacittena sarvaduḥkhāsaṃpravedhanatayā. lokadāsasamacittena sarvakarmasamādānāvijugupsanatayā. rajoharaṇasamacittena mānābhimānavivarjanatayā. yānasamacittena gurubhāranirvāhanatayā. aśvasamacittena akrudhyanatayā. nausamacittena gamanāgamanāparitasanatayā. suputrasadṛśena kalyāṇamitramukhavīkṣaṇatayā. ātmani ca te kulaputra āturasaṃjñotpādayitavyā kalyāṇamitreṣu ca vaidyasaṃjñā, anuśāsanīṣu bhaiṣajyasaṃjñā, pratipattiṣu vyādhinirghātanasaṃjñā. ātmani ca te kulaputra bhīrusaṃjñotpādayitavyā, kalyāṇamitreṣu śūrasaṃjñā, anuśāsanīṣu praharaṇasaṃjñā, pratipattiṣu śatrunirghātanasaṃjñā.

yad uktaṃ sūtrāṇāṃ ca sadekṣaṇād iti tad upadarśayitum āha. etad iha śāstre pratipāditam, anyad yad iha noktam. buddhena bhagavatā bodhisattvānāṃ karaṇīyatayā nirdiṣṭam, tan nānāsūtrāntārthaparicayād veditavyam.",1
bca_5.103,"śrīsambhavavimokṣāc ca śikṣed yad guruvartanam |
etac cānyac ca buddhoktaṃ jñeyaṃ sūtrāntavācanāt || 5.103 ||","saṃprajanyasya utpattisthairyayoḥ smṛtireva kāraṇamiti kathayann āha.

yadā smṛtir manogṛhadvāri kleśataskarasaṃghātānupraveśanivāriṇī dauvārikavadavasthitā bhavati, tadā saṃprajanyam ayatnata evotpadyate. utpannaṃ ca sat sthirībhavati.",0
bca_5.104,"śikṣāḥ sūtreṣu dṛśyante tasmāt sūtrāṇi vācayet |
ākāśagarbhe sūtre ca mūlāpattīr nirūpayet || 5.104 ||","etad eva darśayati.

śikṣā bodhisattvānāṃ heyopādeyalakṣaṇāḥ. sūtreṣu mahāyānasūtrānteṣu ratnameghādiṣu. yata evaṃ tasmāt. idaṃ tu viśeṣanirdeśam āha. āryākāśagarbhasūtre kṣatriyasya mūrdhābhiṣiktasya pañca mūlāpattayo nirdiṣṭāḥ—

	tathā sāmānyena ekā mūlāpattiḥ. tathādikarmikasya bodhisattvasya aṣṭau mūlāpattayaḥ.

iti. tathā ca tatroktam—

	pañca kulaputra kṣatriyasya mūrdhābhiṣiktasya mūlāpattayaḥ yābhirmūlāpattibhiḥ kṣatriyo mūrdhābhiṣiktaḥ sarvāṇi pūrvāvaropitāni kuśalamūlāni jhoṣayati. vastupatitaḥ parājitaḥ sarvadevamanuṣyasukhebhyaḥ apāyagāmī bhavati. katamāḥ pañca? yaḥ kulaputra kṣatriyo mūrdhābhiṣiktaḥ staupikaṃ vastu apaharati sāṃghikaṃ vā cāturdiśasaṃghe niryātitaṃ vā, svayaṃ vā apaharati hārayati vā. iyaṃ prathamā mūlāpattiḥ. evaṃ triyānabhāṣitadharmapratikṣepāt dvitīyā. pravrajitasya śīlavato duḥśīlasya vā kāṣāyāpaharaṇāt, gṛhasthakaraṇāt, kāyaprahārāt, cārake prakṣepāt, jīvitaviyojanādvā tṛtīyā. pañcānantaryeṣvanyatamakaraṇāccaturthī. mithyādṛṣṭeḥ, daśākuśalakarmapathasamādānāt, parasamādāpanādvā pañcami.

iti. tathā grāmabhedādikaraṇāt sarveṣāṃ sādhāraṇī caikā. tatraivoktam—

	ādikarmikāṇāṃ mahāyānasaṃprasthitānāṃ kulaputrāṇāṃ kuladuhitṛṇāṃ ca aṣṭau mūlāpattayaḥ, yābhir mūlāpattibhiḥ skhalitā ādikarmikā mahāyānasaṃprasthitāḥ sarvāṇi pūrvāropitānītyādi pūrvavat. katamā aṣṭau? ye sattvāḥ pūrvaduścaritahetunā asmin kliṣṭe pañcakaṣāye loke utpannāḥ, te itvarakuśalamūlāḥ. yāvat, teṣām idaṃ paramaṃ gambhīraṃ śūnyatāpratisaṃyuktaṃ sūtrāntaṃ yāvad vistareṇāgrataḥ smārayanti prakāśayanti. te hi akṛtaśramā bālapṛthagjanāḥ śṛṇvanta utrasyanti, yāvad vivartayanti anuttarāyāḥ samyaksaṃbodheścittam, śrāvakayāne cittaṃ praṇidadhati. eṣā ādikarmikasya bodhisattvasya mūlāpattiḥ prathamā, yayā mūlāpattyā ityādi pūrvavat. tasmād bodhisattvena parasattvānāṃ parapudgalānām āśayānuśayaṃ prathamaṃ jñātvā yathāśayānāṃ sattvānām anupūrveṇa dharmadeśanā kartavyeti. sopāyāyāḥ samyaksaṃbodhervinivartya hīnayāne parasya cittamutpādayato dvitīyā. prātimokṣaśikṣāsaṃvaraṃ vihāya mahāyāne cittotpādamātreṇa tatpaṭhanena cāsya śuddhiprakāśanāt tṛtīyā. śrāvakādiyānasya tatphalasya gopananindāprakāśanāt, mahāyāne sarvaśuddhiprakāśanāt, pareṣāṃ tadvacanakaraṇāccaturthī. kīrtilābhādihetoḥ mahāyānapaṭhanādinā, tathā tatpratyayāt pareṣāṃ kutsānindādibhāṣaṇāt, ātmotkarṣaṇāt, uttaramanuṣyadharmopagamāt pañcamī. pāṭhamātreṇa gambhīradharmādhigamaprakāśanāt, pareṣāṃ tathaiva samādāpanāt ṣaṣṭhī. kṣatriyasya purohitāmātyacaṇḍālairye bhikṣavo daṇḍitā arthadaṇḍena sāṃghikaṃ staupikaṃ vā cāturdiśasāṃghikaṃ vā dravyamapahṛtya tebhya evopanāmayanti. te ca kṣatriyā ubhaye 'pi mūlāpattim āpadyante. iyaṃ saptamī. dharmādharmavivādanāpūrvaṃ śikṣāpraṇayanāt, tanmūlācāravipannānāṃ satkārāt, prahāṇikānāmupabhogaparibhogāṇyanyatra pariṇāmanāt ubhaye 'pi mūlāpattim āpadyante. iyamaṣṭamī.

āsāṃ ca mūlāpattīnāṃ sukhagrahaṇārthaṃ śāstrakāropadarśitāḥ saṃgrahakārikā ucyante-

	ratnatrayasvaharaṇādāpatpārājikā matā |
	saddharmasya pratikṣepād dvitīyā muninoditā ||

	duḥśīlasyāpi vā bhikṣoḥ kāṣāyastainyatāḍanāt |
	cārake vā vinikṣepādapapravrājanena ca ||

	pañcānantaryakaraṇānmithyādṛṣṭigraheṇa ca |
	grāmādibhedanādvāpi mūlāpattirjinoditā ||

	śūnyatāyāśca kathanātsattveṣvakṛtabuddhiṣu |
	buddhatvaprasthitānāṃ tu saṃbodhervinivartanāt ||

	prātimokṣaṃ parityājya mahāyāne niyojanāt |
	śiṣyayānaṃ na rāgādiprahāṇāyeti vā grahāt ||

	pareṣāṃ grahaṇādvāpi punaḥ svaguṇakāśanāt |
	parapaṃsanato lābhasatkāraślokahetunā ||

	gambhīrakṣāntiko 'smīti mithyaiva kathanātpunaḥ |
	daṇḍāpayedvā śramaṇān dadyādvā śaraṇatrayāt ||

	gṛhṇīyāddīyamānaṃ vā śamathatyājanātpunaḥ |
	pratisaṃlīnabhogaṃ ca svādhyāyiṣu nivedanāt ||

	mūlā āpattayo hyetā mahānarakahetavaḥ |
	āryasyākāśagarbhasya svapne deśyāḥ puraḥsthitaiḥ ||

	bodhicittaparityāgādyācakāyāpradānataḥ |
	tīvramātsaryalobhābhyāṃ krodhādvā sattvatāḍanāt ||

	prasādyamāno yatnena sattveṣu na titikṣate |
	kleśātparānuvṛttyā vā saddharmābhāsavarṇanāt ||

iti.

tasminn eva sūtre samuddharaṇam āsām uktam.",1
bca_5.104,"śikṣāḥ sūtreṣu dṛśyante tasmāt sūtrāṇi vācayet |
ākāśagarbhe sūtre ca mūlāpattīr nirūpayet || 5.104 ||","anayoḥ samudāyābhāve doṣam uktvā pratyekam abhāve kathayitum āha.

na vidyate saṃprajanyaṃ yasmiṃs tad asaṃprajanyam. taccittaṃ yasya tasya. śrutacintābhāvanāmayaprajñāpariniṣṭhitaṃ vastu na smaraṇam adhivasati. tanmūlaṃ ca sarvaṃ kalyāṇam. kim iva? yathā sacchidrakumbhe mukhanikśiptam udakam adhastād gacchati nāvatiṣṭhate.",0
