pair_id,root,commentary,label
BB_10,"de phyir skye bos mthong ba de dag ’khrul par mngon zhes rgyal bas gsungs | |
de na de las ’di dag ’khrul pa’i dbang gis ji ltar snang bar ’gyur zhe na | |
kun tu rtog can yang dag ma yin kun tu rtog pas rtsol med nyams | |
blo gros phyin ci log tu gyur cing ma rig rkyen gyi dbang song bas | |","kun nas nyon mongs pa brtag pa la yang rnam pa gnyis su phye ba las/_gnyis pa 'khrul pa snang ba zhes bya ba yang 

rnam pa dgus bstan te/_gang snang ba dang ci phyir snang ba dang /_snang ba'i nyes pa dang snang ba'i gzhi rnam par shes pa'i mtshan nyid yin par bstan pa dang /_tshul ji ltar snang ba dang /_snang ba'i sems kyi nang du thams cad 'dus pas thob par bya ba med pa dang /_thams cad sems kyi mtshan 
nyid yin na rgyu rkyen gzhan las ci'i phyir skye bar snang bar 'gyur zhes dris pa'i lan dang /_snang ba'i dngos po ma grub pa dang /_snang ba'i gzhi sems nyid kyang ma grub par bstan pa rnams so/_/de la gang snang zhe na/_'khrul pa'i dbang gis sems nyid rnam pa sna tshogs su snang bar ston te/_
de na de la 'khrul pa'i dbang gis 'di dag ji ltar snang bar 'gyur/_/'khrul pa yin par mngon pa des na/_sems can de dag la 'khrul pa'i dbang gis 'di dag ci ltar snang bar 'gyur zhe na/_kun du rtog can yang dag ma yin kun du rtog pas rtsol med nyams/_/sems can 
gyi sems ni rang bzhin gyis kun du rtog pa can yin la/_gang du rtog ce na yang ba ma yin pa'i log pa'i rnam par kun du rtog pas/_thog ma'i rtsol ba med pa nas bden pa mthong ba las nyams shing /_blo gros phyin ci log tu gyur cing ma rig rkyen gyi dbang song bas/_/",1
BB_10,"de phyir skye bos mthong ba de dag ’khrul par mngon zhes rgyal bas gsungs | |
de na de las ’di dag ’khrul pa’i dbang gis ji ltar snang bar ’gyur zhe na | |
kun tu rtog can yang dag ma yin kun tu rtog pas rtsol med nyams | |
blo gros phyin ci log tu gyur cing ma rig rkyen gyi dbang song bas | |",de lta bu la dgongs nas ’phags pa chos kyi gral rims shom par mdzad pa na sems can snod du gyur pa rnams la thabs mi nyams par bya ba’i phyir | gang zhig la | dang po mngon par mtho ba’i chos | | zhes bya ba la sogs pa chos kyi go rims ston par mdzad do | | gang zhig la zhes pa ni mngon par mtho ba’i chos gang zhig la gnas na thos pa dang bsam pa la sogs pa’i rim gyis dus phyis nges par legs pa ’byung ba bsam gtan dang shes rab kyi mtshan nyid ’byung zhing srid pa’o | | dang por zhes pa ni sngar ro | | mngon par mtho ba’i rgyu yin pa’i phyir mngon par mtho ba ste | rgyu la ’bras bu btags pa’i phyir | | dper na tshe ni mar yin no | | zhes pa lta bu’o | | ’di ga las she na | de la mngon mtho bde bas te | | zhes ’byung ba’i phyir ro | | bde ba ni chos yin par rigs pa ma yin te | de’i ’bras bu yin pa’i phyir ro | | nges par legs pa la de bzhin du brjod par bya’o | | chos ni bshad pa’i mtshan nyid ’jig rten pa’i phun sum tshogs pa la gnas pa’i bde ba thob pa dang mthun pa’i sbyin pa dang | tshul khrims la sogs pa’i mtshan nyid do | | chos rnam pa gnyi ga’i yang ’bras bu ’brel pa mi slu ba ston pa na ’bras bu sgrub par byed pa kho na’i chos ston par mdzad do | | mngon par mtho ba dang nges par legs pa sngar bshad pa’i dgongs pa tshigs su bcad pas bshad pa de ma shes pa’i phyir gal te ’ga’ zhig ’di skad ces ci’i phyir rim pa ’di la brten zhes smra na | de’i phyir rgyu | gang phyir mngon par mtho thob nas | | zhes bya ba la sogs pa smos te | rgyu gang gi phyir thob cing rnyed nas so | | rim ni rim pa’o | | rim gyis zhes bya ba ni rim pa la brten nas te | nas zhes bya ba ni mi mngon par byas pa’i lnga pa yin no | | yang na rim gyis zhes bya ba rim pas zhes gsum pa’i don yin no | | ’ong bar ni ’ong bar ’gyur ba’o | | bzlog pa ni sngar bshad pa yin no | |,0
BB_11,"sems dang sems las byung ba de nyid lus gsum don du snang ba yin | |
’du byed sna tshogs dag gis bag chags bsags las gang goms mthu brtas tshe | |
sems nyid yul dang lus ’drar snang ba rus pas gang ba bzhin du snang | |
bag chags bsags pa’i rgyun la dmigs skyes yid la brtags pa’i bdag med pa | |","yang dag pa'i 
don ma mthong bas/_blo gros phyin ci log tu gyur cing /_bden pa mthong ba'i stobs dang mi ldan pas/_ma rig pa'i dbang du song ba'i phyir/_sems dang sems las byung ba de nyid lus gsum don du snang ba yin/_/sems ni rnam par shes pa'i tshogs brgyad las sems las byung ba ni 'du byed lnga 
bcu rtsa gcig yin te/_rang gi sems dag nyid 'og nas 'byung ba'i lus gsum gyi don ltar snang ba yin no/_/'du byed sna tshogs dag gi bag chags bsags las gang goms mthu brtas tshe/_/dge sdig gi las kyi 'du byed sna tshogs kyi bag chags bsags pa goms pas/_snga ma'i bag 
chags smin cing brtas te/_'bras bu 'byin pa'i mthu dang ldan pa'i tshe/_/sems nyid yul dang lus 'drar snang ba rus pas gang ba bzhin du snang /_/rang gi sems nyid phyi'i yul dang /_nang gi lus 'dra bar snang ba ni/_dper na mi gtsang ba bsgoms pas/_sa yul thams cad rus pas gang 

bar bsgom pa yun ring du bsgoms te/_mthu brtas pa'i tshe/_sa yul thams cad rus pas gang ba bzhin du/_rang gi sems nyid rus par snang ste/_lus gsum las de yan chad dang po bstan to/_/gnyis pa ni bag chags bsags pa'i rgyun la dmigs skyes yid la brtags pa'i 
bdag med kun gzhi bag chags dang bcas pa'i skad cig ma'i rgyun la bdag yin no snyam pa'i dmigs pa skyes pa yid las ma gtogs pas bdag go snyam pa'i nan gyis brtags pa'i bdag ni med do/_/dper na thag pa khra bo la sbrul lo snyam pa'i rtog pa skyes kyang /_sbrul lo snyam pa'i rtog pa 
tsam las ma gtogs par sbrul gyi mtshan nyid thag pa la med pa dang 'dra/_lus gsum pa ni/_",1
BB_11,"sems dang sems las byung ba de nyid lus gsum don du snang ba yin | |
’du byed sna tshogs dag gis bag chags bsags las gang goms mthu brtas tshe | |
sems nyid yul dang lus ’drar snang ba rus pas gang ba bzhin du snang | |
bag chags bsags pa’i rgyun la dmigs skyes yid la brtags pa’i bdag med pa | |",sems ni glog  dang ’dra zhes bya ba ni byung ma thag tu ’gag  pa’i mtshan nyid du bstan to|| spre’u dang ’dra  zhes bya ba ni yul kun tu ’jug pa’i don to|| rlung dang mtshungs  zhes bya ba ni ring du ’gro zhing bzung  rgyu  med par rgyu ba’o|| rgya mtsho chen po’i ni  rlabs dang ’dra  zhes bya ba ni  ji ltar rgya mtsho’i rlabs de che chung dang gnyer ma sna tshogs su ’gyur ba bzhin du  sems ’di yang dngos po sna tshogs kyi ngang  du ’byung ba’i don to|| sgyu  can zhes bya ba ni phyin ci log tu slu ba’i tha tshig go|| ’dod dgur yul la mngon dga’ ba  zhes bya  ba ni ’dod chags la sogs pa’i yul la so sor zhen par rgyu ba’i don to|| g.yo zhing ’phyan  pa zhes bya ba ni mi brtan pa’o|| nges par gdul  bar bya zhes bya ba ni rang gi lha’i bzlas brjod la  ’bad pa’i dus du|  rang nyams su  mi gtong bar  dgug pa’i don to||,0
BB_12,"’du byed mthu yis bsgribs shing phra ba ma mthong de las rnam rig skye | |
rgyun dang bcas pa’i sems kyi mthu ni ma rtogs rtog pa’i rjes ’brangs nas | |
de las zag bcas rang bzhin rtog pas bdag dang chos rnams rgyas par byed | |
ldan par ’byung ba shin tu phra bar rgyu ba de ni ma mthong las | |","'du byed mthu yis bsgribs shing phra ba ma mthong de las ma rig skye/_/'du byed kyi chos rags par snang bas/_kun gzhi phra ba bsgribs te/_ma mthong ba de las shes pa dang rig pa skye bas 'dra bar 
snang ste/_dper na smig rgyu yin par ma shes pa las chu'i rtog pa skye ba dang 'dra/_dgur phye ba las gnyis pa ci'i phyir snang zhe na/_kun gzhi mtshan nyid ma mthong ba'i phyir te/_dpe thag pa'i rang bzhin ji lta ba bzhin du ma mthong ba las/_sbrul du 'khrul pa 'byung ba dang 'dra bar/_
rgyu dang bcas pa'i sems kyi mthu ni ma rtogs rtog pa'i rjes 'brangs nas/_/kun gzhi bag chags dang bcas pa'i mthu las rnam pa sna tshogs su snang bar ni ma rtogs pas/_snang ba thams cad rang gi ngo bor yod pas phyin ci log tu rtog pa'i rjes su 'brangs nas/_de las zag bcas 
rang bzhin rtog pas bdag dang chos rnams rgyas par byed/_/log pa'i rjes su 'brangs pa de las khams gsum du zag cing 'khor ba'i rgyur gyur pa'i rtog pas bla thabs su brtags pa'i bdag dang /_phyi nang gi chos su log pa'i rtog pas rgyas par byed/_ldan par 'byung ba shin tu phra ba rgyu ba 
de ni ma mthong las/_/",1
BB_12,"’du byed mthu yis bsgribs shing phra ba ma mthong de las rnam rig skye | |
rgyun dang bcas pa’i sems kyi mthu ni ma rtogs rtog pa’i rjes ’brangs nas | |
de las zag bcas rang bzhin rtog pas bdag dang chos rnams rgyas par byed | |
ldan par ’byung ba shin tu phra bar rgyu ba de ni ma mthong las | |",rgyal ba la dad ces bya ba ni sangs rgyas la dad  pa’i ’jig rten pa’i lha rnams so|| gzhan la phan brtson  zhes bya ba ni ma ’ongs pa’i sems can rnams la brtse bar sems pa ste| de yang lha zhes bya ba la sogs pa ’jig rten pa’i gsang sngags kyi lha sangs rgyas la dad pa’i  rnams so|| rgyal ba’i nyan thos rang sangs rgyas||  de bzhin gshegs dang byang chub sems dpa’ yis| zhes bya ba ni ’jig rten pa’i zhu gnas rnams smos pa’o|| ma ’ongs sems can zhes bya ba la sogs pas ni so so’i gsang sngags phul ba rnams bzhes par gnang zhing byin gyis brlab  pa’i rgyu stan  to||,0
BB_13,"bdag tu lta la sogs pa mu stegs lta ba sna tshogs skye zhing thar par rtog |
sems ’di las rnams mtha’ yas gnas gyur bag chags mtha’ med nges pa med | |་་
bag chags brtas shing sad par byed pa’i rkyen yang rnam pa sna tshogs te | |
rkyen ’gas bag chags ’ga’ zhig smin nas mi yi rgyud kyi lus snang ba | |","bdag tu lta ba la sogs mu stegs lta ba sna tshogs skye zhing thar bar rtogs/_/kun gzhi'i phreng ba ma mthong ba las mu stegs kyi lta ba sna tshogs mang po 'byung bar yang ston te/_ci'i phyir 'byung zhe na/_sems 'di las rnam pa mtha' yas gnas gyur bag chags mtha' med nges 

pa med/_sems zhes bya ba kun gzhi ni dge sdig gi las kyi bag chags mtha' yas pa'i gnas su gyur pas/_kun gzhi la bag chags gnas pa yang mtha' med pas/_bag chags 'di dag mi gnas zhes nges par bzung du ni med do/_/bag chags brtas shing sad par byed pa'i rkyen yang rnam 
pa sna tshogs te/_/kun gzhi la bag chags gnas pa/_dge ba'i rkyen gyis ni mtho ris su skye ba'i bag chags sad par byed la/_nyon mongs shing mi dge ba'i rkyen gyis ni/_ngan song du skye ba'i bag chags sad par byed pa'i rkyen la sogs pa'i yang sna tshogs te/_rkyen 'ga' bag chags 
'ga' zhig smin nas mi'i rgyud kyi lus snang la/_/tshe snga ma la mir skye bar 'gyur ba'i rkyen 'gas mir skye bar 'gyur ba'i bag chags kun gzhi la snga nas gnas pa sad cing smin par byas nas/_tshe 'di la mi'i rgyud kyi lus thob cing snang la/_",1
BB_13,"bdag tu lta la sogs pa mu stegs lta ba sna tshogs skye zhing thar par rtog |
sems ’di las rnams mtha’ yas gnas gyur bag chags mtha’ med nges pa med | |་་
bag chags brtas shing sad par byed pa’i rkyen yang rnam pa sna tshogs te | |
rkyen ’gas bag chags ’ga’ zhig smin nas mi yi rgyud kyi lus snang ba | |",ci chos de dag kho na tsam du zad dam zhe na | chang mi ’thung zhes bya ba la sogs pa smos so | | myos par ’gyur bas na chang ste | lus dang sems rang dbang med par byed pa’o | | rang dbang med pas ni | mi bya ba ci yang med pas med par dgag pa’i tshul gyis zhes bya ba ni dgag pa yin no | | ’thung ba ni mid pa’o | | chang la ’thung ba ni chang la ’thung ba ste | de lta bu mid pa’o | | de bzhin du ’dis ’tsho bar byed pas na ’tsho ba ste ’tsho ba nyid ’tsho ba’o | | ’dir yang rgyu la ’bras bu btags pa ni snga ma bzhin no | | ’tsho ba bzang po ni tshul ’chos pa la sogs pa’i nyes pa dang bral ba’i phyir ro | | rnam par ’tshe ba ni rna ba dang sna gcod pa dang rdeg pa dang | ’ching ba la sogs pa’o | | de lta bu med pas na rnam par mi ’tshe ba’o | | mi gsod pa dang zhes bya ba nas bzung ste | rnam mi ’tshe dang zhes bya ba’i bar ’dis ni ldog pa’i mtshan nyid kyi chos bshad do | | gus sbyin dang zhes bya ba la sogs pas ni ’jug pa’i mtshan nyid kyi chos bshad do | | gus pa ni bkur sti dang dus ji lta ba bzhin la sogs pa dang ldan pa’i phyir te | ji skad du | dad pa’i chu klung dri med byas pa yid kyis ni | | rang gi lag nas dus su gzhan la gnod med par | | gus dang bkur sti lhur blangs sbyin ba sbyin pa ni | | mtshan nyid kun rdzogs yon tan ldan zhes thub rnams gsung | | zhes bshad pa lta bu’o | | sems pa’i khyad par gang gis sbyin pa dang | des bcu pa don yongs su gtong ba ni sbyin pa’o | | de ni rang gi don la sogs pa’i rgyu mtshan te | de yang zang zing dang | mi ’jigs pa dang | chos kyi bye brag gis rnam pa gsum mo | | dang zhes bya ba’i sgra ni bsdu ba yin no | | mchod ’os ni mchod par ’os pas te | sangs rgyas bcom ldan ’das la sogs pa’o | | de rnams mchod pa ste | de yang zang zing dang | sgrub pa’i bye brag gis rnam pa gnyis so | | dang zhes bya ba’i sgra ni snga ma bzhin no | | byams pa ni sems can thams cad la phan pa nye bar bsgrub pa’i bsam pa ’dod pa’i ’dod chags dang | lan du phan ’dogs su re ba spangs pa’o | | chos ni ’jug pa dang ldog pa’i mtshan nyid do | |,0
BB_14,"rkyen gzhan dag gis bag chags gzhan sad byas tshe ’gyur ba’i mthu mthong nas | |
dbang phyug la sogs byed par ’dod de nyes pa lam de mi zhi grol mi ’gyur | | 
rnal ’byor lam slad the tshom rgyu yang  rgyun ’di phra ba ma rtogs skyes | |
bdag tu brtags pas bsgribs te ’phags pa’i rigs dang rnam par bral | |","rkyen gzhan dag gis bag chags gzhan sad byas tshe 
'gyur ba'i mthu mthong nas/_/mi las gzhan pa lhar skye bar 'gyur ba'i rkyen dag gis mi las gzhan pa'i lhar skye ba'i rgyu bag chags kun gzhi la snga ma nas gnas pa sad cing smin par byas pa'i tshe/_mi las lhar 'gyur ba mthong nas/_dbang phyug la sogs byed par 'dod de lam de 
mi zhi grol mi 'gyur/_/mi las lhar skye bar 'gyur ba ni/_'jig rten gyi mngon shes kyis mthong la/_rgyu rkyen gang kho nas de lhar skye ba ni ma rtogs pa'i sgo nas dbang phyug la sogs pa byed pa po zhig gis bya bar sems te/_byed pa po la brten pa nyid thar pa'i lam du 'dod pa nyid/_
sdug bsngal ma zhi bas khams gsum gyi skyon las kyang grol bar mi 'gyur ro/_/rnal 'byor lam bslad the tshom rgyu yang rgyun 'di phra ba ma rtogs skyes/_/yang dag pa'i don rnal 'byor pa'i lam las log par gyur te/_bslad pa dang yid gnyis za ba'i rgyu yang kun gzhi phra rab rgyu ba 
de ma rtogs pa las 'byung zhing skye ste/_dper na thag pa ji lta ba bzhin du ma rtogs pa las sbrul du 'dzin pa'am/_sbrul yin nam ma yin snyam du the tshom za ba dang 'dra'o/_/de ltar 'khrul pas rnam pa sna tshogs su snang na yang nyes pa ci yod ce na/_dgur phye ba'i gsum 

pa snang ba'i nyes pa ston te/_bdag tu brtags pas bsgribs te/_'phags pa'i rigs dang rnam par bral/_/'phags pa'i rigs su gtogs pa rnams ni/_bdag tu rtog pa mi mnga' bas bdag med pa la bdag tu brtags pas/_'phags pa'i rigs dang 
bral zhing 'bras bu mi thob pa'i nyes pa yod do/_/",1
BB_14,"rkyen gzhan dag gis bag chags gzhan sad byas tshe ’gyur ba’i mthu mthong nas | |
dbang phyug la sogs byed par ’dod de nyes pa lam de mi zhi grol mi ’gyur | | 
rnal ’byor lam slad the tshom rgyu yang  rgyun ’di phra ba ma rtogs skyes | |
bdag tu brtags pas bsgribs te ’phags pa’i rigs dang rnam par bral | |",yang dang yang du mtho dman gyi ngo bor 'gyur ba'i nyes pa'i dbang du byas nas/ brgya byin zhes bya ba la sogs pa smos te/ tshigs su bcad pa'i don ni go bar zad do/ /,0
